lat,lon,timezone,state,finalCategory,displayValue,hourlyCategories,weather
26,-81.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26,-81.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26,-81,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / definitely · thunderstorms · none · none / definitely · thunderstorms · none · none
26,-80.5,America/New_York,FL,0,0,0|0|0|0,likely · rain showers · moderate · none / likely · rain showers · moderate · none / definitely · thunderstorms · none · none / definitely · thunderstorms · none · none
26,-80.25,America/New_York,FL,0,0,0|0|0|0,likely · rain showers · moderate · none / likely · rain showers · moderate · none / definitely · rain showers · moderate · none / definitely · rain showers · moderate · none
26.25,-81.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none
26.25,-81.5,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26.25,-81.25,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26.25,-81,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26.25,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26.25,-80.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · rain showers · moderate · none / likely · thunderstorms · none · none / definitely · thunderstorms · none · none
26.25,-80.25,America/New_York,FL,0,0,0|0|0|0,likely · rain showers · moderate · none / likely · rain showers · moderate · none / definitely · rain showers · moderate · none / definitely · rain showers · moderate · none
26.5,-82,America/New_York,FL,0,0,0|0|0|0,scattered · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
26.5,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
26.5,-81.5,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
26.5,-81.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26.5,-81,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26.5,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26.5,-80.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · rain showers · moderate · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26.5,-80.25,America/New_York,FL,0,0,0|0|0|0,likely · rain showers · moderate · none / likely · rain showers · moderate · none / definitely · rain showers · moderate · none / likely · thunderstorms · none · none
26.75,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
26.75,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
26.75,-81.5,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
26.75,-81.25,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26.75,-81,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26.75,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26.75,-80.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · rain showers · moderate · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
26.75,-80.25,America/New_York,FL,0,0,0|0|0|0,likely · rain showers · moderate · none / likely · rain showers · moderate · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27,-82.25,America/New_York,FL,0,0,0|0|0|0,scattered · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · rain showers · moderate · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27,-81.5,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
27,-81.25,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none
27,-81,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / slight chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27,-80.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · rain showers · moderate · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27,-80.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.25,-82.5,America/New_York,FL,0,0,0|0|0|0,scattered · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.25,-82.25,America/New_York,FL,0,0,0|0|0|0,scattered · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.25,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.25,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.25,-81.5,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.25,-81.25,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.25,-81,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / numerous · thunderstorms · none · none
27.25,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.25,-80.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.25,-80.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.5,-82.5,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.5,-82.25,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.5,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.5,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.5,-81.5,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.5,-81.25,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.5,-81,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.5,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.5,-80.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.75,-82.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.75,-82.25,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.75,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.75,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.75,-81.5,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
27.75,-81.25,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / numerous · thunderstorms · none · none
27.75,-81,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.75,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.75,-80.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
28,-82.75,America/New_York,FL,0,0,0|0|0|0,scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
28,-82.5,America/New_York,FL,0,0,0|0|0|0,scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
28,-82.25,America/New_York,FL,0,0,0|0|0|0,scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
